Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
subsoil,Abandoned,-90.37140695,0.728200579,-72.34099235,0.668893869
subsoil,Abandoned,-69.25096554,1.321549281,-41.08760176,0.668893869
subsoil,Abandoned,-91.60392348,5.161176865,-67.47217509,0.668893869
topsoil,Cropland,428.3040536,0.286173296,344.839347,0.668893869
topsoil,Cropland,63.06847196,1.378404894,128.5322166,0.668893869
topsoil,Cropland,91.78743838,0.65526986,267.4113125,0.668893869
topsoil,Cropland,42.08649615,0.831804226,84.78078675,0.668893869
topsoil,Cropland,172.991551,3.892936586,205.2698379,0.668893869
topsoil,Cropland,-2.123775901,5.242002612,14.22365244,0.668893869
subsoil,Cropland,211.9716449,4.168387252,160.8023879,0.668893869
subsoil,Cropland,-8.063427219,7.599123952,3.778614966,0.668893869
subsoil,Cropland,249.0144062,3.866256774,192.3163903,0.668893869
subsoil,Cropland,3.32345929,3.972879073,8.726556247,0.668893869
subsoil,Cropland,192.6736691,12.34439875,171.6773997,0.668893869
subsoil,Cropland,-20.0849534,16.60174238,50.00365208,0.668893869
topsoil,Cropland,28.65922212,0.216892973,56.59591646,0.501252086
topsoil,Cropland,48.33845129,0.162129989,94.19450929,0.501252086
topsoil,Cropland,48.77596354,0.164500854,73.5345106,0.501252086
topsoil,Cropland,63.32418816,0.151085519,55.77474197,0.501252086
topsoil,Cropland,74.45184366,0.150372646,35.58980129,0.501252086
topsoil,Cropland,34.78857288,0.121265968,20.66300206,0.501252086
topsoil,Cropland,50.16182351,0.146838302,13.56825264,0.501252086
topsoil,Cropland,32.20641669,0.136466531,15.50496037,0.501252086
topsoil,Cropland,54.82414601,0.15653599,36.18768525,0.501252086
topsoil,Cropland,81.49954485,0.135467174,33.89435293,0.501252086
subsoil,Cropland,41.95269325,0.200879393,22.74720837,0.501252086
subsoil,Cropland,56.3459789,0.20842831,10.0208822,0.501252086
subsoil,Cropland,49.97833735,0.147032186,17.61902187,0.501252086
subsoil,Cropland,81.54508481,0.177766518,-3.622749222,0.501252086
subsoil,Cropland,62.79159036,0.183732281,16.9573241,0.501252086
subsoil,Cropland,50.71725619,0.108935792,18.34804026,0.501252086
subsoil,Cropland,40.08612667,0.181491597,10.78283571,0.501252186
subsoil,Cropland,41.38289835,0.147118113,3.530906949,0.501252086
subsoil,Cropland,64.83289893,0.137265823,-14.46631799,0.501252186
subsoil,Cropland,64.85263984,0.109168546,-6.611315588,0.501252086
topsoil,Cropland,53.15458043,0.293147138,136.2178468,0.501252086
topsoil,Cropland,110.7503598,0.296387763,79.11799435,0.501252086
topsoil,Cropland,187.3297555,0.432547397,135.5162485,0.501252086
topsoil,Cropland,70.78268665,0.238287956,36.08456364,0.501252086
topsoil,Cropland,207.5194831,0.619214958,240.7174103,0.501252086
topsoil,Cropland,345.5376188,0.361226054,337.5755681,0.501252086
topsoil,Cropland,30.35031879,0.384560644,57.24398285,0.501252086
topsoil,Cropland,97.02193052,0.207855922,6.662557824,0.501252086
topsoil,Cropland,97.81697015,0.343349398,79.0117369,0.501252086
topsoil,Cropland,47.1021492,0.446056584,8.578149542,0.501252086
topsoil,Cropland,153.4575752,0.602353295,133.8544838,0.501252086
topsoil,Cropland,307.954729,0.281584507,191.594946,0.501252086
subsoil,Cropland,51.84525711,1.457145651,-23.14049115,0.501252086
subsoil,Cropland,114.7982956,0.917541741,-31.5430755,0.501252086
subsoil,Cropland,160.4675095,0.774647488,33.61912058,0.501252086
subsoil,Cropland,65.22444511,0.849887007,-52.62535249,0.501252086
subsoil,Cropland,145.4964915,1.015143878,-5.152514477,0.501252086
subsoil,Cropland,369.1404657,0.985867064,164.8858803,0.501252086
subsoil,Cropland,41.26938902,0.959383762,36.65207773,0.501252086
subsoil,Cropland,89.00146361,0.834110175,-7.114255325,0.501252086
subsoil,Cropland,123.8146722,0.875031614,227.1991608,0.501252086
subsoil,Cropland,53.96983475,0.902881909,50.86110212,0.501252086
subsoil,Cropland,154.6780555,0.768973632,292.0538077,0.501252086
subsoil,Cropland,263.1367409,1.0886653,233.2384294,0.501252086
topsoil,Cropland,116.7883212,0.006670222,-20.81059671,0.668893869
topsoil,Cropland,109.4890511,0.006670222,6.258009234,0.668893869
topsoil,Cropland,134.3065693,0.006670222,-27.35826957,0.668893869
topsoil,Cropland,149.2700729,0.006670222,-13.63781797,0.668893869
topsoil,Cropland,238.3211678,0.006670222,-16.01603347,0.668893869
topsoil,Abandoned,-9.863429426,0.006670222,12.43647652,0.668893869
topsoil,Abandoned,-12.89833079,0.006670222,50.87149696,0.668893869
topsoil,Abandoned,-2.579666179,0.006670222,3.138236049,0.668893869
topsoil,Abandoned,3.641881632,0.006670222,22.62069239,0.668893869
topsoil,Abandoned,40.66767829,0.006670222,19.24400107,0.668893869
topsoil,Cropland,109.0235945,1.045763784,48.26999421,0.668893869
topsoil,Cropland,156.9312314,0.883032734,31.21763361,0.668893869
topsoil,Cropland,24.38096162,2.335545504,37.21872959,0.668893869
topsoil,Cropland,40.62145236,2.557219515,82.39357842,0.668893869
topsoil,Cropland,-1.03118525,4.117651169,117.5857705,0.668893869
topsoil,Cropland,32.60205906,2.853482651,119.2609414,0.668893869
topsoil,Cropland,70.87546921,1.373378069,-4.839000762,0.668893869
topsoil,Cropland,50.2328658,1.957472084,1.765402215,0.668893869
subsoil,Cropland,38.14418589,1.562559461,70.64552334,0.668893869
subsoil,Cropland,31.1566413,1.3662465,37.99563055,0.668893869
subsoil,Cropland,23.86318627,1.112773777,181.103778,0.668893869
subsoil,Cropland,46.63205914,2.22486473,208.5223737,0.668893768
topsoil,Cropland,98.38522771,1.992741194,-2.400713203,0.668893869
